Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Jones, Ian William Nasser",SP23,ANAR 111 - Foundations of Archaeology (A),100.0%,100.0%,3.83,N/A
"Shtienberg, Gilad",SP23,ANAR 115 - Coastal Geomorphology/Environ (A),100.0%,83.3%,3.83,B (3.07)
"Braswell, Geoffrey E.",SP23,ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),100.0%,100.0%,5.17,A (4.00)
"Hrvoj Mihic, Branka",SP23,ANBI 111 - Human Evolution (A),100.0%,100.0%,2.50,B- (2.95)
"Non, Amy L",SP23,ANBI 135 - Genetic Anthro Lab Techniques (A),100.0%,100.0%,5.39,N/A
"Hrvoj Mihic, Branka",SP23,ANBI 140 - Evolution of Human Brain (A),63.6%,72.7%,6.17,C+ (2.53)
"Wilder, Linnea Lorene",SP23,ANBI 173 - How Monkeys See the World (A),83.3%,83.3%,4.83,B+ (3.51)
"Sloane, Julia Kathryn",SP23,ANSC 101 - Aging: Culture&Health/Hum Dev (A),91.7%,100.0%,3.17,A- (3.75)
"Stewart, Alexander B",SP23,ANSC 105 - Global Health and Inequality (A),95.0%,100.0%,3.45,B+ (3.67)
"Kang, Byung Chu",SP23,ANSC 117 - Transgenderisms (A),100.0%,100.0%,5.00,N/A
"Yeh, Rihan Wen Xin",SP23,ANSC 122 - Language in Society (A),75.0%,87.5%,5.50,B- (2.88)
"Brenner, Suzanne A",SP23,"ANSC 125 - Gender, Sexuality, & Society (A)",100.0%,100.0%,3.60,B+ (3.57)
"Stewart, Alexander B",SP23,ANSC 137 - Chinese Popular Religion (A),92.0%,96.0%,4.02,B+ (3.40)
"Kennemore, Amy Michelle",SP23,ANSC 142 - Anthropology of Latin America (A),100.0%,100.0%,5.50,A- (3.83)
"Stewart, Alexander B",SP23,ANSC 147 - Global Health and Environment (A),100.0%,100.0%,4.79,B+ (3.33)
"Olivas Hernandez, Olga Lid",SP23,ANSC 148 - Global Health&Cultrl Diversity (A),88.9%,77.8%,4.28,B+ (3.60)
"Jenkins, Janis A.",SP23,ANSC 156 - Mad Films (A),100.0%,100.0%,1.70,N/A
"Brenner, Suzanne A",SP23,ANSC 173 - Ethnography in Practice (A),100.0%,100.0%,3.07,N/A
"Pedersen, David",SP23,ANSC 177 - Anthrohistory: Past/Future (A),100.0%,100.0%,3.36,N/A
