Instructor,Rating,Would Take Again,Difficulty,Tags
Nataliia Siuliukina,4.3/5,80%,2.8,"Amazing lectures, Respected, Clear grading criteria, Caring, Tough grader"
Christena L. Turner,4/5,50%,2.8,"Caring, Get ready to read, Participation matters, Would take again, Gives good feedback"
David John Stapleton,4.4/5,97%,2.6,"Hilarious, Clear grading criteria, Amazing lectures, Skip class? You won't pass., Caring"
Siavash Mir Arabbaygi,3.6/5,67%,4.6,"Test heavy, Group projects, Lecture heavy, Graded by few things"
Julia Michelle Diaz,2/5,0%,3,None
Jiannan Zhao,2.8/5,50%,2.4,"Caring, Tough grader, Amazing lectures, Clear grading criteria, Graded by few things"
Michael Alan Caldwell,5/5,92%,3.4,"Get ready to read, Participation matters, Hilarious, Amazing lectures, Lecture heavy"
Michael Bennett Orfield,4.3/5,82%,2,"EXTRA CREDIT, Caring, Clear grading criteria, Inspirational, Respected"
Jing Wang,4.1/5,100%,2.8,"Amazing lectures, Clear grading criteria, Accessible outside class"
Feiyang Sun,3.6/5,77%,3.4,"Caring, Clear grading criteria, Skip class? You won't pass., EXTRA CREDIT, Respected"
Faik Tezcan,3.1/5,64%,3.8,"Tough grader, Lecture heavy, Skip class? You won't pass., Test heavy, EXTRA CREDIT"
Aaron B. Coleman,4.3/5,62%,3.6,"Skip class? You won't pass., Tough grader, Lecture heavy, Amazing lectures, Respected"
Todd Coleman,5/5,100%,1.8,"Clear grading criteria, Caring, Gives good feedback, Group projects, Inspirational"
Lisa Cartwright,4/5,63%,1.9,"Graded by few things, Participation matters, Skip class? You won't pass., Lecture heavy, Tough grader"
Sin Hang Lau,4/5,N/A,4,None
Shengqiang Cai,5/5,100%,3.5,"Amazing lectures, Gives good feedback"
Youniss El Cheddadi,5/5,100%,1.8,"Participation matters, Caring, Respected, Clear grading criteria, Hilarious"
Sheila Sarkar,2.1/5,N/A,2.9,None
Dean Michael Tullsen,3.8/5,84%,3.9,"Caring, Respected, Participation matters, Accessible outside class, Tough grader"
Kamau Kenyatta,4.6/5,100%,1.7,"Skip class? You won't pass., Clear grading criteria, Respected, Would take again, Inspirational"
Falk Feddersen,3.3/5,50%,3.4,"Graded by few things, Caring, Lecture heavy, Test heavy, Accessible outside class"
Simone Galperti,2.4/5,45%,4.1,"Tough grader, Caring, Test heavy, Tests are tough, Accessible outside class"
Lynne D,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Hugo T,2.6/5,56%,3.1,"Skip class? You won't pass., Clear grading criteria, Tough grader, Respected, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
David D. Sworder,1.9/5,34%,3.3,"Get ready to read, Hilarious, Amazing lectures, Clear grading criteria, Inspirational"
Margaret Earling Roberts,5/5,100%,3,"Get ready to read, Group projects, Amazing lectures"
